name,domain,city,status,pages_checked,address_candidates,next_action
Ticketbooth,ticketbooth.com.au,Brisbane,no_candidate_found,https://leapevents.com/ | https://leapevents.com/contact | https://leapevents.com/contact-us | https://leapevents.com/locations | https://leapevents.com/support,,Verify candidate text on the cited first-party page before geocoding.
Rezgo AU,rezgo.com,Sydney,no_candidate_found,https://www.rezgo.com/ | https://www.rezgo.com/contact-us/ | https://www.rezgo.com/locations | https://support.rezgo.com/,,Verify candidate text on the cited first-party page before geocoding.
MePAY,mepay.com.au,Sydney,no_candidate_found,https://www.propertyme.com.au/tenant/features/mepay | https://www.propertyme.com.au/tenant/features/mepay/contact | https://www.propertyme.com.au/tenant/features/mepay/contact-us | https://www.propertyme.com.au/tenant/features/mepay/locations | https://www.propertyme.com.au/tenant/support,,Verify candidate text on the cited first-party page before geocoding.
Openfort AU,openfort.xyz,Melbourne,no_candidate_found,https://www.openfort.io/ | https://www.openfort.io/contact | https://www.openfort.io/contact-us | https://www.openfort.io/locations | https://www.openfort.io/support,,Verify candidate text on the cited first-party page before geocoding.
Zulu Republic AU,zulurepublic.io,Sydney,no_candidate_found,https://www.ecomoto.io/ | https://www.ecomoto.io/contact | https://www.ecomoto.io/contact-us | https://www.ecomoto.io/locations | https://www.ecomoto.io/support,,Verify candidate text on the cited first-party page before geocoding.
Quantaco,quantaco.co,Sydney,address_candidate_needs_verification,https://www.quantaco.co/ | https://www.quantaco.co/contact/ | https://www.quantaco.co/contact-us | https://www.quantaco.co/locations | https://www.quantaco.co/support,"6 O’Connell Street Sydney NSW | 300 Flinders Street, Melbourne, VIC 3000",Verify candidate text on the cited first-party page before geocoding.
Coda Payments AU,coda.io,Sydney,no_candidate_found,https://coda.io/ | https://superhuman.com/contact-sales?productInterest=Coda&source=coda_csf | https://docs.superhuman.com/contact-us | https://docs.superhuman.com/locations | https://docs.superhuman.com/support,,Verify candidate text on the cited first-party page before geocoding.
Axlr8r,axlr8r.com,Melbourne,no_candidate_found,https://axlr8r.com/ | https://axlr8r.com/contact,,Verify candidate text on the cited first-party page before geocoding.
Skilio,skilio.com.au,Melbourne,address_candidate_needs_verification,https://skilio.com.au/ | https://skilio.com.au/contact | https://skilio.com.au/contact-us | https://skilio.com.au/locations | https://skilio.com.au/support,"470 St Kilda Road, Ground Floor Melbourne VIC 3004",Verify candidate text on the cited first-party page before geocoding.
Docuware AU,docuware.com,Sydney,no_candidate_found,https://start.docuware.com/ | https://start.docuware.com/contact | https://start.docuware.com/contact-us | https://start.docuware.com/locations | https://start.docuware.com/support,,Verify candidate text on the cited first-party page before geocoding.
Muru-D,muru-d.com,Sydney,no_candidate_found,https://www.telstra.com.au/business-enterprise/muru-d | https://www.telstra.com.au/business-enterprise/muru-d/contact | https://www.telstra.com.au/business-enterprise/muru-d/contact-us | https://www.telstra.com.au/business-enterprise/muru-d/locations | https://www.telstra.com.au/business-enterprise/muru-d/support,,Verify candidate text on the cited first-party page before geocoding.
Startmate,startmate.com,Sydney,no_candidate_found,https://www.startmate.com/ | https://www.startmate.com/contact | https://www.startmate.com/contact-us | https://www.startmate.com/locations | https://www.startmate.com/support,,Verify candidate text on the cited first-party page before geocoding.
BlueRock,bluerock.com.au,Melbourne,address_candidate_needs_verification,https://www.bluerock.com.au/ | https://www.bluerock.com.au/contact/ | https://www.bluerock.com.au/locations/ | https://www.bluerock.com.au/support/,"2/525 Collins St, Melbourne VIC 3000",Verify candidate text on the cited first-party page before geocoding.
